RepRapFirmware height map file v2 generated at 2018-01-27 00:47, mean error 0.073, deviation 0.110
xmin,xmax,ymin,ymax,radius,xspacing,yspacing,xnum,ynum
0.00,290.00,0.00,245.00,-1.00,40.00,40.00,8,7
  0.001, -0.005,  0.081,  0.134,  0.169,  0.166,  0.141,  0.093
 -0.051, -0.006,  0.024,  0.019,  0.062,  0.029,  0.024, -0.028
 -0.058, -0.079, -0.080, -0.091, -0.124, -0.126, -0.112, -0.110
  0.039,  0.029,  0.042, -0.002,  0.019,  0.017, -0.030,  0.045
  0.036,  0.030,  0.102,  0.132,  0.121,  0.084,  0.127,  0.114
  0.093,  0.119,  0.141,  0.171,  0.189,  0.195,  0.207,  0.189
  0.105,  0.119,  0.189,  0.235,  0.278,  0.279,  0.250,  0.359
